iter	Passed	Remaining
399	61244	91867
400	61426	91756
401	61553	91565
402	61689	91385
403	61852	91248
404	62018	91113
405	62170	90958
406	62359	90857
407	62545	90752
408	62717	90626
409	62905	90523
410	63135	90478
411	63382	90458
412	63706	90547
413	64012	90606
414	64237	90551
415	64507	90558
416	64808	90607
417	65207	90791
418	65541	90882
419	65934	91052
420	66235	91093
421	66445	91008
422	66710	90997
423	66874	90848
424	67061	90730
425	67254	90619
426	67420	90473
427	67523	90241
428	67617	89999
429	67727	89778
430	67819	89534
431	68064	89491
432	68187	89289
433	68294	89065
434	68404	88847
435	68503	88615
436	68627	88414
437	68740	88201
438	68835	87965
439	69017	87840
440	69171	87679
441	69396	87609
442	69581	87487
443	69776	87377
444	69971	87268
445	70218	87222
446	70427	87128
447	70554	86933
448	70682	86739
449	70833	86574
450	71055	86495
451	71234	86364
452	71440	86264
453	71607	86118
454	71800	86002
455	72005	85901
456	72230	85822
457	72423	85705
458	72678	85662
459	72877	85552
460	73126	85498
461	73315	85375
462	73529	85281
463	73685	85119
464	73853	84971
465	74010	84809
466	74237	84729
467	74369	84539
468	74555	84411
469	74763	84308
470	74887	84108
471	74998	83897
472	75133	83711
473	75252	83507
474	75409	83347
475	75575	83196
476	75754	83060
477	75914	82902
478	76227	82910
479	76470	82843
480	76624	82677
481	76775	82509
482	76938	82354
483	77147	82247
484	77317	82100
485	77426	81887
486	77556	81696
487	77702	81524
488	77814	81315
489	77938	81119
490	78105	80969
491	78232	80776
492	78316	80540
493	78455	80361
494	78594	80182
495	78736	80006
496	78952	79905
497	79076	79711
498	79183	79501
499	79272	79272
500	79357	79040
501	79532	78898
502	79672	78721
503	79819	78552
504	79947	78364
505	80041	78143
506	80179	77965
507	80342	77812
508	80533	77685
509	80661	77498
510	80774	77296
511	80944	77150
512	81203	77088
513	81419	76984
514	81552	76801
515	81686	76620
516	81824	76443
517	82024	76324
518	82233	76212
519	82431	76090
520	82628	75967
521	82873	75888
522	83116	75806
523	83343	75708
524	83497	75545
525	83731	75454
526	83957	75354
527	84186	75257
528	84428	75171
529	84696	75107
530	84933	75016
531	85170	74924
532	85458	74876
533	85761	74840
534	86080	74817
535	86378	74775
536	86874	74902
537	87161	74848
538	87377	74733
539	87542	74573
540	87797	74490
541	87954	74323
542	88169	74205
543	88364	74070
544	88506	73890
545	88601	73672
546	88739	73489
547	88938	73358
548	89071	73171
549	89277	73045
550	89427	72872
551	89520	72654
552	90022	72766
553	90474	72836
554	90771	72780
555	91029	72692
556	91285	72602
557	91555	72522
558	91680	72327
559	91978	72268
560	92114	72082
561	92371	71990
562	92596	71873
563	92833	71764
564	93042	71634
565	93246	71500
566	93430	71350
567	93611	71197
568	93825	71069
569	93966	70887
570	94114	70709
571	94342	70591
572	94545	70455
573	94728	70303
574	94946	70178
575	95149	70040
576	95337	69892
577	95502	69726
578	95701	69586
579	95876	69427
580	96030	69254
581	96272	69144
582	96450	68987
583	96690	68875
584	96895	68737
585	97119	68613
586	97314	68468
587	97488	68307
588	97758	68215
589	97951	68068
590	98144	67920
591	98619	67967
592	98854	67847
593	99162	67778
594	99395	67655
595	99666	67559
596	99866	67413
597	100057	67262
598	100264	67121
599	100442	66961
600	100576	66772
601	100697	66573
602	100845	66393
603	101096	66281
604	101260	66112
605	101478	65977
606	101708	65850
607	101893	65694
608	102090	65546
609	102305	65408
610	102513	65266
611	102768	65154
612	103003	65028
613	103146	64844
614	103321	64681
615	103491	64514
616	103698	64370
617	103898	64221
618	104347	64227
619	104571	64092
620	104812	63967
621	104995	63807
622	105241	63685
623	105539	63594
624	105751	63450
625	105941	63294
626	106179	63166
627	106411	63033
628	106590	62870
629	106892	62777
630	107412	62813
631	107667	62692
632	107874	62543
633	108246	62489
634	108565	62403
635	109083	62431
636	109497	62398
637	109741	62267
638	109930	62104
639	110060	61909
640	110195	61716
641	110396	61560
642	110564	61386
643	110783	61240
644	111002	61094
645	111228	60951
646	111564	60868
647	111866	60767
648	112146	60652
649	112414	60530
650	112583	60355
651	112787	60199
652	112985	60039
653	113120	59846
654	113259	59655
655	113460	59497
656	113650	59333
657	113832	59165
658	113978	58978
659	114272	58867
660	114461	58702
661	114823	58625
662	115031	58469
663	115256	58322
664	115426	58147
665	115628	57987
666	115929	57877
667	116051	57678
668	116202	57493
669	116320	57292
670	116484	57114
671	116800	57009
672	116977	56837
673	117110	56643
674	117347	56500
675	117549	56340
676	117850	56226
677	118105	56091
678	118351	55951
679	118525	55776
680	118735	55619
681	118973	55474
682	119217	55332
683	119399	55161
684	119557	54978
685	119707	54793
686	119998	54671
687	120272	54542
688	120427	54358
689	120838	54289
690	121215	54204
691	121379	54024
692	121647	53890
693	121980	53784
694	122159	53609
695	122322	53428
696	122458	53235
697	122618	53052
698	122884	52916
699	123166	52785
700	123341	52609
701	123503	52427
702	123711	52264
703	123864	52079
704	124066	51914
705	124288	51757
706	124451	51576
707	124624	51398
708	124801	51222
709	125025	51066
710	125195	50888
711	125385	50717
712	125581	50549
713	125738	50365
714	126021	50232
715	126254	50078
716	126413	49895
717	126592	49720
718	126680	49509
719	126859	49334
720	127074	49173
721	127197	48976
722	127501	48849
723	127709	48684
724	127901	48514
725	128047	48326
726	128234	48154
727	128437	47987
728	128638	47820
729	128887	47670
730	129208	47547
731	129338	47353
732	129541	47186
733	129692	47000
734	129849	46816
735	130081	46659
736	130273	46488
737	130566	46352
738	130742	46175
739	130933	46003
740	131149	45840
741	131370	45678
742	131523	45493
743	131709	45319
744	131867	45135
745	132130	44988
746	132429	44852
747	132742	44720
748	133008	44572
749	133128	44376
750	133354	44214
751	133488	44022
752	133636	43835
753	133779	43646
754	133921	43457
755	134256	43331
756	134502	43175
757	134781	43030
758	135019	42871
759	135266	42715
760	135475	42547
761	135692	42381
762	135941	42225
763	136101	42041
764	136313	41873
765	136524	41705
766	136761	41545
767	136966	41375
768	137209	41216
769	137426	41049
770	137695	40897
771	137867	40717
772	138108	40556
773	138485	40436
774	138679	40261
775	138858	40082
776	139034	39903
777	139175	39713
778	139343	39531
779	139537	39356
780	139759	39189
781	139914	39004
782	140032	38808
783	140267	38644
784	140495	38479
785	140639	38291
786	140831	38115
787	141027	37941
788	141260	37776
789	141535	37623
790	141803	37467
791	142033	37301
792	142238	37129
793	142402	36945
794	142556	36759
795	142695	36570
796	142817	36376
797	143005	36199
798	143422	36080
799	143687	35921
800	143883	35746
801	144267	35617
802	144505	35451
803	144638	35260
804	144756	35065
805	144989	34898
806	145174	34719
807	145345	34537
808	145475	34345
809	145653	34165
810	145843	33988
811	146114	33829
812	146246	33638
813	146468	33468
814	146671	33293
815	146870	33117
816	147070	32942
817	147204	32752
818	147426	32581
819	147574	32394
820	147686	32199
821	147801	32005
822	147931	31815
823	148085	31629
824	148248	31446
825	148472	31276
826	148687	31103
827	148823	30914
828	148963	30727
829	149090	30536
830	149285	30360
831	149357	30158
832	149470	29965
833	149605	29777
834	149724	29586
835	149922	29410
836	150104	29231
837	150221	29040
838	150343	28850
839	150468	28660
840	150614	28475
841	150757	28289
842	150855	28095
843	151110	27930
844	151299	27753
845	151377	27555
846	151481	27363
847	151632	27179
848	151787	26996
849	152126	26845
850	152559	26711
851	152788	26540
852	153050	26375
853	153207	26192
854	153338	26004
855	153508	25823
856	153642	25636
857	153823	25457
858	154075	25290
859	154266	25113
860	154418	24929
861	154590	24748
862	154819	24577
863	155034	24403
864	155221	24225
865	155399	24045
866	155611	23871
867	155792	23691
868	155994	23515
869	156226	23344
870	156468	23173
871	156732	23006
872	157064	22849
873	157544	22712
874	157817	22545
875	158092	22378
876	158277	22198
877	158506	22024
878	158679	21843
879	158885	21666
880	159053	21483
881	159277	21309
882	159431	21125
883	159602	20943
884	159782	20762
885	160020	20589
886	160237	20413
887	160447	20236
888	160628	20056
889	160798	19873
890	160975	19692
891	161212	19518
892	161448	19344
893	161628	19164
894	161814	18983
895	161965	18799
896	162178	18622
897	162362	18442
898	162554	18262
899	162727	18080
900	162899	17899
901	163079	17718
902	163275	17538
903	163401	17352
904	163530	17166
905	163649	16979
906	163832	16798
907	164300	16647
908	164541	16472
909	164926	16311
910	165200	16139
911	165485	15967
912	165804	15799
913	166132	15631
914	166379	15455
915	166657	15282
916	166911	15107
917	167163	14931
918	167384	14753
919	167633	14576
920	167848	14397
921	168002	14212
922	168238	14035
923	168386	13849
924	168568	13667
925	168719	13482
926	168913	13301
927	169133	13122
928	169315	12940
929	169461	12755
930	169696	12576
931	169948	12399
932	170183	12221
933	170325	12035
934	170437	11848
935	170798	11678
936	170995	11497
937	171132	11311
938	171340	11130
939	171733	10961
940	172022	10785
941	172325	10610
942	172579	10431
943	172722	10246
944	172936	10065
945	173135	9882
946	173345	9701
947	173725	9529
948	174009	9351
949	174273	9172
950	174458	8988
951	174611	8803
952	174944	8627
953	175261	8450
954	175609	8274
955	175959	8098
956	176120	7913
957	176301	7729
958	176437	7543
959	176641	7360
960	176867	7177
961	177268	7002
962	177650	6825
963	177854	6641
964	177977	6455
965	178431	6280
966	178720	6099
967	178899	5914
968	179226	5733
969	179456	5550
970	179733	5367
971	180144	5189
972	180508	5008
973	180666	4822
974	180972	4640
975	181123	4453
976	181288	4267
977	181453	4081
978	181775	3899
979	181998	3714
980	182214	3529
981	182896	3352
982	183470	3172
983	183780	2988
984	183958	2801
985	184133	2614
986	184662	2432
987	185026	2247
988	185292	2060
989	185558	1874
990	185737	1686
991	185888	1499
992	186020	1311
993	186138	1123
994	186329	936
995	186478	748
996	186594	561
997	186696	374
998	186780	186
999	186899	0
