iter	RMSE
0	26.13895657
1	25.20203201
2	24.32088386
3	23.49690067
4	22.72786174
5	22.00734693
6	21.33549568
7	20.7081093
8	20.12565347
9	19.58087505
10	19.07304406
11	18.60894629
12	18.17303794
13	17.76644643
14	17.39075862
15	17.04581354
16	16.72704717
17	16.43144509
18	16.16101217
19	15.91191193
20	15.68209295
21	15.47291182
22	15.28039826
23	15.10404233
24	14.94071345
25	14.79025441
26	14.65300372
27	14.52825584
28	14.41241547
29	14.30855599
30	14.2130578
31	14.12563739
32	14.04751694
33	13.97477035
34	13.90887221
35	13.84804575
36	13.79341256
37	13.74421624
38	13.6995089
39	13.65804137
40	13.62122092
41	13.58623529
42	13.55543795
43	13.52665818
44	13.50061005
45	13.47662793
46	13.45585974
47	13.43566625
48	13.41788927
49	13.40200308
50	13.38708956
51	13.37366682
52	13.36155992
53	13.35138468
54	13.34122687
55	13.33215086
56	13.32351193
57	13.31520975
58	13.3079415
59	13.30143455
60	13.2958607
61	13.28959667
62	13.28456475
63	13.27999401
64	13.27619804
65	13.27214188
66	13.26808854
67	13.26439463
68	13.26127589
69	13.25851984
70	13.2558628
71	13.2523578
72	13.24961163
73	13.24689715
74	13.24479729
75	13.24273817
76	13.2402348
77	13.23843037
78	13.2370443
79	13.23518388
80	13.23325547
81	13.23200975
82	13.23042058
83	13.22981984
84	13.22772937
85	13.22677312
86	13.22504225
87	13.22370454
88	13.22236644
89	13.22147245
90	13.21978005
91	13.21904842
92	13.21755887
93	13.21624735
94	13.21548011
95	13.21462136
96	13.21378853
97	13.21276331
98	13.21151367
99	13.21078523
100	13.21006561
101	13.20946395
102	13.20884258
103	13.20788963
104	13.20727501
105	13.20671234
106	13.20650146
107	13.20565269
108	13.20519481
109	13.20431667
110	13.20352452
111	13.20311355
112	13.20283143
113	13.20253268
114	13.201234
115	13.20073185
116	13.20028072
117	13.19963917
118	13.19938157
119	13.19812628
120	13.19766219
121	13.19676958
122	13.1967309
123	13.19592294
124	13.19549313
125	13.19538677
126	13.19482621
127	13.19456484
128	13.19437074
129	13.19412635
130	13.19379214
131	13.19341007
132	13.19295057
133	13.19218733
134	13.19212147
135	13.19183153
136	13.19125335
137	13.19122729
138	13.19117565
139	13.19085057
140	13.19050369
141	13.18998738
142	13.18991811
143	13.18973124
144	13.18919924
145	13.18855874
146	13.18855874
147	13.18782798
148	13.18779836
149	13.18745692
150	13.18715262
151	13.18679631
152	13.1866552
153	13.18639049
154	13.18617174
155	13.1860002
156	13.18532598
157	13.18479065
158	13.18432826
159	13.18405365
160	13.18401951
161	13.18382653
162	13.18353432
163	13.18319832
164	13.18275718
165	13.18269255
166	13.18269255
167	13.18227768
168	13.18160384
169	13.1814508
170	13.181317
171	13.1809357
172	13.18080741
173	13.18045254
174	13.17996195
175	13.17981386
176	13.17981386
177	13.17966251
178	13.17950822
179	13.17915371
180	13.17914656
181	13.17894819
182	13.17893529
183	13.17885586
184	13.1786932
185	13.17810757
186	13.17778673
187	13.17755982
188	13.17754476
189	13.17726359
190	13.1769343
191	13.17685513
192	13.17651423
193	13.17650989
194	13.17621244
195	13.17612932
196	13.17609455
197	13.17593002
198	13.17587403
199	13.17586634
200	13.17567823
201	13.17566714
202	13.17527548
203	13.17495514
204	13.17441678
205	13.17435535
206	13.17386404
207	13.17362907
208	13.1730081
209	13.17293263
210	13.17293263
211	13.1728482
212	13.17283678
213	13.17269702
214	13.17269603
